doi,url
https://doi.org/10.33545/26164485.2017.v1.i1a.1, https://www.homoeopathicjournal.com/articles/1/1-1-1-669.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.2, https://www.homoeopathicjournal.com/articles/2/1-1-2-521.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.3, https://www.homoeopathicjournal.com/articles/3/1-1-3-840.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.4, https://www.homoeopathicjournal.com/articles/4/1-1-4-504.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.5, https://www.homoeopathicjournal.com/articles/5/1-1-6-293.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.6, https://www.homoeopathicjournal.com/articles/6/1-1-7-101.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.7, https://www.homoeopathicjournal.com/articles/7/1-1-8-696.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.8, https://www.homoeopathicjournal.com/articles/8/1-1-9-725.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.9, https://www.homoeopathicjournal.com/articles/9/1-1-10-112.pdf
https://doi.org/10.33545/26164485.2017.v1.i1a.10, https://www.homoeopathicjournal.com/articles/10/1-1-11-589.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.11, https://www.homoeopathicjournal.com/articles/11/1-1-12-470.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.12, https://www.homoeopathicjournal.com/articles/12/2-1-1-474.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.13, https://www.homoeopathicjournal.com/articles/13/2-1-2-861.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.14, https://www.homoeopathicjournal.com/articles/14/2-1-3.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.15, https://www.homoeopathicjournal.com/articles/15/2-1-4.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.16, https://www.homoeopathicjournal.com/articles/16/2-1-5.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.17, https://www.homoeopathicjournal.com/articles/17/2-1-6.pdf
https://doi.org/10.33545/26164485.2018.v2.i1a.18, https://www.homoeopathicjournal.com/articles/18/2-1-7.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.19, https://www.homoeopathicjournal.com/articles/19/2-1-8-853.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.20, https://www.homoeopathicjournal.com/articles/20/2-1-9.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.21, https://www.homoeopathicjournal.com/articles/21/2-1-10-532.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.22, https://www.homoeopathicjournal.com/articles/22/2-1-11.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.23, https://www.homoeopathicjournal.com/articles/23/2-1-12.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.24, https://www.homoeopathicjournal.com/articles/24/2-1-13.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.25, https://www.homoeopathicjournal.com/articles/25/2-1-14.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.26, https://www.homoeopathicjournal.com/articles/26/2-2-1-972.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.27, https://www.homoeopathicjournal.com/articles/27/2-2-3-764.pdf
https://doi.org/10.33545/26164485.2018.v2.i2a.28, https://www.homoeopathicjournal.com/articles/28/2-2-4-897.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.29, https://www.homoeopathicjournal.com/articles/29/2-3-1-181.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.30, https://www.homoeopathicjournal.com/articles/30/2-3-2-433.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.31, https://www.homoeopathicjournal.com/articles/31/2-3-3-678.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.32, https://www.homoeopathicjournal.com/articles/32/2-3-4-676.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.33, https://www.homoeopathicjournal.com/articles/33/2-3-5-379.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.34, https://www.homoeopathicjournal.com/articles/34/2-3-6-835.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.35, https://www.homoeopathicjournal.com/articles/35/2-3-7-666.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.36, https://www.homoeopathicjournal.com/articles/36/2-3-8-247.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.37, https://www.homoeopathicjournal.com/articles/37/2-3-9-941.pdf
https://doi.org/10.33545/26164485.2018.v2.i3a.38, https://www.homoeopathicjournal.com/articles/38/2-3-11-373.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.39, https://www.homoeopathicjournal.com/articles/39/2-3-10-630.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.40, https://www.homoeopathicjournal.com/articles/40/2-4-2-632.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.41, https://www.homoeopathicjournal.com/articles/41/2-4-3-934.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.42, https://www.homoeopathicjournal.com/articles/42/2-4-4-591.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.43, https://www.homoeopathicjournal.com/articles/43/2-4-5-829.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.44, https://www.homoeopathicjournal.com/articles/44/2-4-6-929.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.45, https://www.homoeopathicjournal.com/articles/45/2-4-8-311.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.46, https://www.homoeopathicjournal.com/articles/46/2-4-9-834.pdf
https://doi.org/10.33545/26164485.2018.v2.i4a.47, https://www.homoeopathicjournal.com/articles/47/2-4-1-466.pdf
